label,group,mean,min,max,ripple_amp,defect,d_mean,d_min,d_max,d_ripple,d_defect,resolution_cm
default,-,99.51311650243714,88.00398600136577,101.37291924946602,0.8177710542954014,88.00398600136577,0.0,0.0,0.0,0.0,0.0,7.3891447816530205
truth (model),-,99.85008474494494,89.25482309305796,101.27334437073355,,89.25482309305796,0.336968242507794,1.2508370916921905,-0.09957487873246862,,1.2508370916921905,0.0
DC: zero,dc,98.74743441373904,87.4720633532305,101.28323841194577,0.7048758294372678,87.4720633532305,-0.7656820886980995,-0.5319226481352786,-0.08968083752024825,-0.11289522485813364,-0.5319226481352786,7.3891447816530205
DC: linear,dc,99.07342241347777,87.69900162266785,101.31580221518396,0.7465117494372989,87.69900162266785,-0.4396940889593708,-0.30498437869792383,-0.057117034282057944,-0.0712593048581025,-0.30498437869792383,7.3891447816530205
DC: rational,dc,99.30042483054659,87.85594881028219,101.33830968110867,0.7799105194850553,87.85594881028219,-0.21269167189055338,-0.14803719108358848,-0.03460956835735374,-0.037860534810346125,-0.14803719108358848,7.3891447816530205
window: rectangular,window,99.5246233039452,87.88427753478555,101.42325563126053,0.7930907139189468,87.88427753478555,0.011506801508062381,-0.11970846658022083,0.05033638179450861,-0.024680340376454613,-0.11970846658022083,7.209150723219429
window: Hann,window,99.51841213892686,87.40053737169248,101.37521906629067,0.863155140727773,87.40053737169248,0.005295636489719868,-0.603448629673295,0.0022998168246459727,0.04538408643237157,-0.603448629673295,7.371932741026123
window: Kaiser b=3,window,99.52107793436831,87.61615566924401,101.42506618743668,0.8698155345300093,87.61615566924401,0.007961431931164498,-0.38783033212176576,0.05214693797066161,0.05204448023460784,-0.38783033212176576,7.289574243169401
window: Kaiser b=9,window,99.50936797183391,88.24013512080614,101.35012021801838,0.8680562377292061,88.24013512080614,-0.003748530603232325,0.23614911944036976,-0.022799031447647167,0.050285183433804725,0.23614911944036976,7.486260814056816
window: Blackman-Harris,window,99.50461042747405,88.22596406848503,101.35446872857494,0.8332869471497467,88.22596406848503,-0.008506074963094079,0.2219780671192524,-0.018450520891079236,0.015515892854345292,0.2219780671192524,7.580208255906287
rise filter: none,rise,99.44035435369734,87.98993943733849,102.19828947132108,1.0081823609886178,87.98993943733849,-0.07276214873979825,-0.014046564027282216,0.8253702218550529,0.19041130669321638,-0.014046564027282216,1.672575319183158
rise filter: 200 ps,rise,99.45552824632347,87.46438281568805,101.66942848764714,0.9504044199908668,87.46438281568805,-0.05758825611367513,-0.5396031856777199,0.2965092381811161,0.13263336569546536,-0.5396031856777199,3.312441215201428
rise filter: 1000 ps,rise,99.64805156731154,89.66415056163225,100.68556767100257,0.8326614238171194,89.66415056163225,0.13493506487439788,1.6601645602664803,-0.6873515784634492,0.014890369521717961,1.6601645602664803,14.50891040833689
mask: 0.3 m,mask,99.52753606844328,88.00398600136577,101.37291924946602,0.8401797469557584,88.00398600136577,0.014419566006139917,0.0,0.0,0.022408692660356944,0.0,7.3891447816530205
mask: 1.0 m,mask,99.4909124352087,88.00398600136577,101.37291924946602,0.8406518593083121,88.00398600136577,-0.02220406722844359,0.0,0.0,0.022880805012910677,0.0,7.3891447816530205
mask: no settling detector,mask,99.51311650243714,88.00398600136577,101.37291924946602,0.8177710542954014,88.00398600136577,0.0,0.0,0.0,0.0,0.0,7.3891447816530205
peel: lossless,peel,103.4807326803207,94.19240154246165,104.88666291183539,0.7392090075547499,94.19240154246165,3.9676161778835564,6.188415541095878,3.5137436623693645,-0.07856204674065148,6.188415541095878,7.3891447816530205
peel: gain cap 10 dB,peel,98.74744221863075,88.09143205695578,101.07734848332383,0.7172969646542688,88.09143205695578,-0.7656742838063906,0.08744605559000718,-0.29557076614219113,-0.10047408964113258,0.08744605559000718,7.3891447816530205
peel: gain cap 30 dB,peel,99.57676752553375,87.92764585569648,101.41929330152263,0.8750970983014524,87.92764585569648,0.06365102309661097,-0.07634014566929181,0.046374052056606274,0.05732604400605101,-0.07634014566929181,7.3891447816530205
peel: velocity model constant,peel,99.55100944211722,88.027172076129,101.39905057361976,0.9320988709796146,88.027172076129,0.03789293968007712,0.02318607476323109,0.026131324153737978,0.11432781668421321,0.02318607476323109,7.3891447816530205
peel: velocity model inductance,peel,99.5983666997219,88.05005986511074,101.42573584895982,0.8318210645316839,88.05005986511074,0.08525019728475058,0.04607386374496514,0.052816599493795025,0.014050010236282495,0.04607386374496514,7.3891447816530205
reference: given (100 ohm),peel,99.59962574460289,88.06926037964641,101.3956672646336,0.8276683982226375,88.06926037964641,0.08650924216574651,0.06527437828063398,0.022748015167579183,0.009897343927236069,0.06527437828063398,7.389144760058672
no peeling (plain transform),peel,104.63215559396394,96.50014641008077,108.16489299701273,0.5336238528663207,96.50014641008077,5.119039091526801,8.496160408715,6.791973747546706,-0.2841472014290807,8.496160408715,7.3891447816530205
