label,group,mean,min,max,ripple_amp,defect,d_mean,d_min,d_max,d_ripple,d_defect,resolution_cm
default,-,100.93033976354943,92.3964981128648,105.19146716511996,1.1975579745560083,92.3964981128648,0.0,0.0,0.0,0.0,0.0,18.115559208815093
truth (model),-,99.85008474494494,89.25482309305796,101.27334437073355,,89.25482309305796,-1.0802550186044897,-3.14167501980684,-3.918122794386406,,-3.14167501980684,0.0
DC: zero,dc,99.99070252208026,91.73273302528163,104.31427890066632,1.2591808802138624,91.73273302528163,-0.9396372414691712,-0.6637650875831724,-0.8771882644536362,0.06162290565785411,-0.6637650875831724,18.115559208815093
DC: linear,dc,102.12327029319981,93.29853736157531,106.36743067425475,1.1645560359003104,93.29853736157531,1.1929305296503827,0.9020392487105084,1.1759635091347889,-0.03300193865569789,0.9020392487105084,18.115559208815093
DC: rational,dc,101.63873937831043,92.93390752944887,105.89320624038854,1.1821231352322181,92.93390752944887,0.7083996147610065,0.5374094165840688,0.701739075268577,-0.015434839323790195,0.5374094165840688,18.115559208815093
window: rectangular,window,100.83527515489956,91.31084591798819,103.97140022042956,1.3178969708410788,91.31084591798819,-0.09506460864986366,-1.0856521948766158,-1.2200669446904016,0.1203389962850705,-1.0856521948766158,9.21547024534641
window: Hann,window,100.92267080237768,92.99147209681821,105.255688552085,1.1676113897901095,92.99147209681821,-0.007668961171745536,0.594973983953409,0.06422138696504476,-0.029946584765898843,0.594973983953409,17.779770318204953
window: Kaiser b=3,window,100.8922710024108,93.27771442113419,104.73981746598407,1.2533503356004991,93.27771442113419,-0.03806876113863211,0.8812163082693871,-0.45164969913588493,0.05579236104449081,0.8812163082693871,13.473226573431734
window: Kaiser b=9,window,100.94374601470643,94.83649773843332,104.56987003418203,0.9021656621430985,94.83649773843332,0.013406251157007887,2.439999625568518,-0.6215971309379285,-0.29539231241290986,2.439999625568518,21.749813372213726
window: Blackman-Harris,window,100.99379064881188,94.07037369242678,105.1558913605093,1.1857171081515094,94.07037369242678,0.0634508852624549,1.6738755795619795,-0.03557580461065868,-0.011840866404498884,1.6738755795619795,24.788041689814673
rise filter: none,rise,100.91196504620372,92.13298635667614,103.85535564642255,1.1421058948781828,92.13298635667614,-0.018374717345707836,-0.26351175618866307,-1.3361115186974075,-0.055452079677825505,-0.26351175618866307,16.726079298315558
rise filter: 200 ps,rise,100.91676910346567,93.63565372951064,104.69375684063473,1.142311042410927,93.63565372951064,-0.013570660083757957,1.2391556166458315,-0.4977103244852259,-0.05524693214508125,1.2391556166458315,16.953343372401683
rise filter: 1000 ps,rise,100.92307562074407,94.97283810897815,104.32397937994824,0.9022177090731482,94.97283810897815,-0.007264142805354368,2.5763399961133473,-0.8674877851717184,-0.2953402654828601,2.5763399961133473,21.877808364661853
mask: 0.3 m,mask,100.9167486103549,92.3964981128648,105.19146716511996,1.131374374046048,92.3964981128648,-0.013591153194525418,0.0,0.0,-0.0661836005099603,0.0,18.115559208815093
mask: 1.0 m,mask,100.94289871552662,92.3964981128648,105.19146716511996,1.2227934893651298,92.3964981128648,0.012558951977197808,0.0,0.0,0.02523551480912145,0.0,18.115559208815093
mask: no settling detector,mask,100.93033976354943,92.3964981128648,105.19146716511996,1.1975579745560083,92.3964981128648,0.0,0.0,0.0,0.0,0.0,18.115559208815093
peel: lossless,peel,105.01877133201151,97.54261098269059,109.35799187340588,0.805007117965771,97.54261098269059,4.088431568462084,5.146112869825785,4.16652470828592,-0.39255085659023736,5.146112869825785,18.115559208815093
peel: gain cap 10 dB,peel,100.38073310931556,92.99663378731253,103.93605028012286,1.035985530610146,92.99663378731253,-0.5496066542338696,0.6001356744477278,-1.2554168849971035,-0.16157244394586234,0.6001356744477278,18.115559208815093
peel: gain cap 30 dB,peel,100.99297865835383,92.32405848304073,105.34067893700703,1.218395343898847,92.32405848304073,0.0626388948044081,-0.07243962982407481,0.14921177188706736,0.020837369342838752,-0.07243962982407481,18.115559208815093
peel: velocity model constant,peel,101.03049589772122,92.48134196471105,105.21232808633985,1.3779275273885605,92.48134196471105,0.10015613417179736,0.08484385184624443,0.020860921219892248,0.18036955283255218,0.08484385184624443,18.115559208815093
peel: velocity model inductance,peel,101.16912238245841,92.56867797431823,105.23441717923207,1.1894685829103038,92.56867797431823,0.238782618908985,0.17217986145342934,0.04295001411210819,-0.008089391645704547,0.17217986145342934,18.115559208815093
reference: given (100 ohm),peel,100.91357344195289,92.38565974086663,105.17083728077927,1.1968067993243254,92.38565974086663,-0.016766321596534794,-0.010838371998175944,-0.020629884340692684,-0.0007511752316828879,-0.010838371998175944,18.11556012480277
no peeling (plain transform),peel,104.38932984550661,96.76741552966908,108.86743412628482,0.5750352804237409,96.76741552966908,3.4589900819571824,4.370917416804275,3.6759669611648604,-0.6225226941322675,4.370917416804275,18.115559208815093
